PT022595_PT022693_R,PT012641_PT022560_PT022593_PT022658_PT022691_VB02272_F,PT022595_PT022693_R_+_PT012641_PT022560_PT022593_PT022658_PT022691_VB02272_F
PT001632_VB02317_R,VB01483_VB02316_F,PT001632_VB02317_R_+_VB01483_VB02316_F
PT001634_VB02345_R,PT009213_PT009231_VB02344_F,PT001634_VB02345_R_+_PT009213_PT009231_VB02344_F
PT001636_VB02367_R,PT003141_PT022575_PT022673_VB02366_F,PT001636_VB02367_R_+_PT003141_PT022575_PT022673_VB02366_F
PT001638_VB02407_R,PT003146_VB02406_F,PT001638_VB02407_R_+_PT003146_VB02406_F
PT001644_R,PT003158_PT022583_PT022681_F,PT001644_R_+_PT003158_PT022583_PT022681_F
PT001646_VB02524_R,PT003162_VB02523_F,PT001646_VB02524_R_+_PT003162_VB02523_F
PT001648_VB02529_R,PT003163_PT009216_PT009234_VB02528_VB05487_F,PT001648_VB02529_R_+_PT003163_PT009216_PT009234_VB02528_VB05487_F
PT001650_PT008664_VB02537_R,PT003165_PT022586_PT022684_VB02536_F,PT001650_PT008664_VB02537_R_+_PT003165_PT022586_PT022684_VB02536_F
VB03921_R,VB03920_F,VB03921_R_+_VB03920_F
VB04907_R,PT003122_PT022564_PT022662_VB02162_F,VB04907_R_+_PT003122_PT022564_PT022662_VB02162_F
LL000212_R,LL000211_F,LL000212_R_+_LL000211_F
LL001315_R,LL000999_F,LL001315_R_+_LL000999_F
LL001338_R,LL000988_F,LL001338_R_+_LL000988_F
LL001597_R,LL000788_F,LL001597_R_+_LL000788_F
PT005108_R,PT005105_F,PT005108_R_+_PT005105_F
PT005127_VB00957_R,PT005121_F,PT005127_VB00957_R_+_PT005121_F
PT018605_VB03491_R,PT018596_VB03483_F,PT018605_VB03491_R_+_PT018596_VB03483_F
LL000927_R,LL000921_F,LL000927_R_+_LL000921_F
LL000953_R,LL000947_F,LL000953_R_+_LL000947_F
LL000760_R,LL000754_F,LL000760_R_+_LL000754_F
LL000803_R,LL000797_F,LL000803_R_+_LL000797_F
LL000833_R,LL000827_F,LL000833_R_+_LL000827_F
LL001086_R,LL001080_F,LL001086_R_+_LL001080_F
PT003587_PT004718_R,PT004715_F,PT003587_PT004718_R_+_PT004715_F
VB03922_R,VB03918_F,VB03922_R_+_VB03918_F
LL000736_R,LL000726_F,LL000736_R_+_LL000726_F
LL000818_R,LL000807_F,LL000818_R_+_LL000807_F
LL000854_R,LL000843_F,LL000854_R_+_LL000843_F
LL000869_R,LL000858_F,LL000869_R_+_LL000858_F
LL000884_R,LL000873_F,LL000884_R_+_LL000873_F
LL000918_R,LL000907_F,LL000918_R_+_LL000907_F
LL001045_R,LL001034_F,LL001045_R_+_LL001034_F
LL001079_R,LL001068_F,LL001079_R_+_LL001068_F
LL001101_R,LL001090_F,LL001101_R_+_LL001090_F
LL001119_R,LL001108_F,LL001119_R_+_LL001108_F
PT001140_PT013552_R,PT001139_PT013551_F,PT001140_PT013552_R_+_PT001139_PT013551_F
PT001144_PT013555_R,PT001143_PT013554_F,PT001144_PT013555_R_+_PT001143_PT013554_F
LL000404_R,LL000403_F,LL000404_R_+_LL000403_F
LL000958_R,LL000956_F,LL000958_R_+_LL000956_F
LL000741_R,LL000747_F,LL000741_R_+_LL000747_F
LL000970_R,LL000976_F,LL000970_R_+_LL000976_F
LL001050_R,LL001056_F,LL001050_R_+_LL001056_F
PT000294_R,PT000296_VB03567_F,PT000294_R_+_PT000296_VB03567_F
PT000483_PT002645_VB03643_R,PT002651_VB02153_F,PT000483_PT002645_VB03643_R_+_PT002651_VB02153_F
LL001906_R,LL001914_F,LL001906_R_+_LL001914_F
PT001279_PT013645_R,PT001271_PT013637_F,PT001279_PT013645_R_+_PT001271_PT013637_F
LL000728_R,LL000724_F,LL000728_R_+_LL000724_F
LL000809_R,LL000805_F,LL000809_R_+_LL000805_F
LL000845_R,LL000841_F,LL000845_R_+_LL000841_F
LL000860_R,LL000856_F,LL000860_R_+_LL000856_F
LL000875_R,LL000871_F,LL000875_R_+_LL000871_F
LL000909_R,LL000905_F,LL000909_R_+_LL000905_F
LL001036_R,LL001032_F,LL001036_R_+_LL001032_F
LL001070_R,LL001066_F,LL001070_R_+_LL001066_F
LL001092_R,LL001088_F,LL001092_R_+_LL001088_F
LL000738_R,LL000749_F,LL000738_R_+_LL000749_F
LL000967_R,LL000978_F,LL000967_R_+_LL000978_F
LL001047_R,LL001058_F,LL001047_R_+_LL001058_F
PT000888_PT013447_VB03443_R,PT000885_PT013444_VB03447_F,PT000888_PT013447_VB03443_R_+_PT000885_PT013444_VB03447_F
PT002642_R,PT002653_VB02154_F,PT002642_R_+_PT002653_VB02154_F
PT001299_R,PT001311_PT001382_PT013669_PT013713_F,PT001299_R_+_PT001311_PT001382_PT013669_PT013713_F
PT001314_PT013671_R,PT001326_PT013683_F,PT001314_PT013671_R_+_PT001326_PT013683_F
LL000585_R,LL000586_F,LL000585_R_+_LL000586_F
VB00189_VB04174_R,PT001469_PT013790_VB04180_F,VB00189_VB04174_R_+_PT001469_PT013790_VB04180_F
LL001180_R,LL001173_F,LL001180_R_+_LL001173_F
LL001379_R,LL001372_F,LL001379_R_+_LL001372_F
LL001313_R,LL001312_F,LL001313_R_+_LL001312_F
LL001336_R,LL001335_F,LL001336_R_+_LL001335_F
LL001595_R,LL001594_F,LL001595_R_+_LL001594_F
LL001232_R,LL001220_F,LL001232_R_+_LL001220_F
LL001248_R,LL001236_F,LL001248_R_+_LL001236_F
LL001294_R,LL001282_F,LL001294_R_+_LL001282_F
LL001331_R,LL001319_F,LL001331_R_+_LL001319_F
LL001479_R,LL001467_F,LL001479_R_+_LL001467_F
PT000232_PT013267_R,PT000217_PT013252_F,PT000232_PT013267_R_+_PT000217_PT013252_F
PT010972_PT010978_R,PT010968_PT010974_F,PT010972_PT010978_R_+_PT010968_PT010974_F
LL001610_R,LL001609_F,LL001610_R_+_LL001609_F
PT000250_PT013272_R,PT000249_PT013271_F,PT000250_PT013272_R_+_PT000249_PT013271_F
PT000254_PT013276_R,PT000253_PT013275_F,PT000254_PT013276_R_+_PT000253_PT013275_F
PT000257_PT013279_R,PT000256_PT013278_F,PT000257_PT013279_R_+_PT000256_PT013278_F
PT000562_PT000862_VB01447_VB03094_VB03957_VB05789_R,PT000561_PT000861_VB01444_VB03093_F,PT000562_PT000862_VB01447_VB03094_VB03957_VB05789_R_+_PT000561_PT000861_VB01444_VB03093_F
PT001304_PT013662_R,PT001302_PT001384_PT013660_PT013715_F,PT001304_PT013662_R_+_PT001302_PT001384_PT013660_PT013715_F
PT001319_PT013676_R,PT001317_PT013674_F,PT001319_PT013676_R_+_PT001317_PT013674_F
PT001812_PT013907_R,PT001803_PT013898_F,PT001812_PT013907_R_+_PT001803_PT013898_F
PT002667_PT002837_PT002849_PT012606_R,PT012605_VB02108_F,PT002667_PT002837_PT002849_PT012606_R_+_PT012605_VB02108_F
PT003904_R,PT003903_F,PT003904_R_+_PT003903_F
PT021923_PT021955_VB04123_R,PT021910_PT021942_VB04121_F,PT021923_PT021955_VB04123_R_+_PT021910_PT021942_VB04121_F
VB00713_R,VB03362_F,VB00713_R_+_VB03362_F
VB03422_R,VB03418_F,VB03422_R_+_VB03418_F
LL000789_R,LL001598_F,LL000789_R_+_LL001598_F
LL001559_R,LL000826_F,LL001559_R_+_LL000826_F
LL001600_R,LL000782_F,LL001600_R_+_LL000782_F
LL001620_R,LL000768_F,LL001620_R_+_LL000768_F
LL001969_R,LL001928_F,LL001969_R_+_LL001928_F
LL000989_R,LL001339_F,LL000989_R_+_LL001339_F
LL001000_R,LL001316_F,LL001000_R_+_LL001316_F
LL000816_R,LL001567_F,LL000816_R_+_LL001567_F
LL000852_R,LL001518_F,LL000852_R_+_LL001518_F
LL000867_R,LL001516_F,LL000867_R_+_LL001516_F
LL000882_R,LL001514_F,LL000882_R_+_LL001514_F
LL000916_R,LL001429_F,LL000916_R_+_LL001429_F
LL001043_R,LL001250_F,LL001043_R_+_LL001250_F
LL001077_R,LL001199_F,LL001077_R_+_LL001199_F
LL001099_R,LL001187_F,LL001099_R_+_LL001187_F
LL001117_R,LL001171_F,LL001117_R_+_LL001171_F
PT025023_PT025046_R,PT025025_PT025048_F,PT025023_PT025046_R_+_PT025025_PT025048_F
PT025070_PT025093_R,PT025072_PT025095_F,PT025070_PT025093_R_+_PT025072_PT025095_F
LL001430_R,LL001429_F,LL001430_R_+_LL001429_F
LL001515_R,LL001514_F,LL001515_R_+_LL001514_F
LL001517_R,LL001516_F,LL001517_R_+_LL001516_F
LL001519_R,LL001518_F,LL001519_R_+_LL001518_F
LL001568_R,LL001567_F,LL001568_R_+_LL001567_F
LL001639_R,LL001638_F,LL001639_R_+_LL001638_F
PT003006_PT003007_PT011841_PT014725_PT014744_VB00511_VB02854_R,PT003011_PT011846_PT014730_PT014749_VB00510_VB02853_VB03947_F,PT003006_PT003007_PT011841_PT014725_PT014744_VB00511_VB02854_R_+_PT003011_PT011846_PT014730_PT014749_VB00510_VB02853_VB03947_F
VB00969_VB00970_R,VB00967_VB00968_F,VB00969_VB00970_R_+_VB00967_VB00968_F
LL000903_R,LL001471_F,LL000903_R_+_LL001471_F
LL000993_R,LL001323_F,LL000993_R_+_LL001323_F
LL001024_R,LL001286_F,LL001024_R_+_LL001286_F
LL001063_R,LL001240_F,LL001063_R_+_LL001240_F
LL001064_R,LL001224_F,LL001064_R_+_LL001224_F
PT000169_PT000700_PT013241_PT013370_R,PT000699_PT013369_F,PT000169_PT000700_PT013241_PT013370_R_+_PT000699_PT013369_F
PT000227_PT013262_R,PT000229_PT013264_F,PT000227_PT013262_R_+_PT000229_PT013264_F
PT000689_PT013360_R,PT000688_PT013359_F,PT000689_PT013360_R_+_PT000688_PT013359_F
PT003320_PT003353_VB01345_R,PT003326_PT003359_VB01292_F,PT003320_PT003353_VB01345_R_+_PT003326_PT003359_VB01292_F
PT019010_PT019023_PT019035_VB04335_R,PT019013_PT019026_PT019038_VB02788_VB04341_F,PT019010_PT019023_PT019035_VB04335_R_+_PT019013_PT019026_PT019038_VB02788_VB04341_F
PT002353_R,PT002348_F,PT002353_R_+_PT002348_F
PT011170_PT014577_VB04374_R,PT006679_PT014361_VB04373_F,PT011170_PT014577_VB04374_R_+_PT006679_PT014361_VB04373_F
LL001181_R,LL001184_F,LL001181_R_+_LL001184_F
LL001380_R,LL001383_F,LL001380_R_+_LL001383_F
PT017345_VB04480_R,PT017348_F,PT017345_VB04480_R_+_PT017348_F
PT017372_R,PT017375_F,PT017372_R_+_PT017375_F
LL001827_R,LL001831_F,LL001827_R_+_LL001831_F
PT001017_R,PT001018_F,PT001017_R_+_PT001018_F
LL001159_R,LL001166_F,LL001159_R_+_LL001166_F
LL001258_R,LL001265_F,LL001258_R_+_LL001265_F
LL001403_R,LL001410_F,LL001403_R_+_LL001410_F
LL001505_R,LL001512_F,LL001505_R_+_LL001512_F
LL001526_R,LL001533_F,LL001526_R_+_LL001533_F
VB01316_R,VB01350_F,VB01316_R_+_VB01350_F
VB01317_VB01318_R,VB01351_F,VB01317_VB01318_R_+_VB01351_F
VB01321_R,VB01352_F,VB01321_R_+_VB01352_F
LL000946_R,LL001376_F,LL000946_R_+_LL001376_F
LL001104_R,LL001177_F,LL001104_R_+_LL001177_F
LL001311_R,LL000994_F,LL001311_R_+_LL000994_F
LL001334_R,LL000983_F,LL001334_R_+_LL000983_F
LL001593_R,LL000783_F,LL001593_R_+_LL000783_F
PT005103_R,PT005107_F,PT005103_R_+_PT005107_F
PT005117_R,PT005126_F,PT005117_R_+_PT005126_F
VB05556_R,VB05553_F,VB05556_R_+_VB05553_F
LL001583_R,LL001591_F,LL001583_R_+_LL001591_F
VB00980_R,VB00979_F,VB00980_R_+_VB00979_F
VB01327_R,VB01313_F,VB01327_R_+_VB01313_F
VB01328_R,VB01314_F,VB01328_R_+_VB01314_F
LL001642_R,LL000717_F,LL001642_R_+_LL000717_F
PT001475_PT013796_VB04189_R,PT001483_PT013804_VB04172_F,PT001475_PT013796_VB04189_R_+_PT001483_PT013804_VB04172_F
PT019008_PT019021_PT019034_VB04337_R,PT019017_PT019030_PT019042_VB04342_F,PT019008_PT019021_PT019034_VB04337_R_+_PT019017_PT019030_PT019042_VB04342_F
PT019048_PT019057_R,PT019046_PT019055_F,PT019048_PT019057_R_+_PT019046_PT019055_F
PT019053_PT019061_R,PT019051_PT019059_F,PT019053_PT019061_R_+_PT019051_PT019059_F
VB02784_R,VB02789_F,VB02784_R_+_VB02789_F
VB05710_R,VB05712_F,VB05710_R_+_VB05712_F
LL000961_R,LL000960_F,LL000961_R_+_LL000960_F
LL000744_R,LL000750_F,LL000744_R_+_LL000750_F
LL000973_R,LL000979_F,LL000973_R_+_LL000979_F
LL001053_R,LL001059_F,LL001053_R_+_LL001059_F
PT002648_VB02150_R,PT002654_VB02155_F,PT002648_VB02150_R_+_PT002654_VB02155_F
LL000717_R,LL000715_F,LL000717_R_+_LL000715_F
PT003132_VB02277_R,PT015920_VB02279_F,PT003132_VB02277_R_+_PT015920_VB02279_F
PT003133_VB02282_R,VB01493_VB02284_F,PT003133_VB02282_R_+_VB01493_VB02284_F
PT003136_VB01482_VB02311_VB05021_R,PT015925_VB02313_F,PT003136_VB01482_VB02311_VB05021_R_+_PT015925_VB02313_F
PT003141_PT022575_PT022673_VB02366_R,PT015935_VB02368_F,PT003141_PT022575_PT022673_VB02366_R_+_PT015935_VB02368_F
PT003146_VB02406_R,PT015937_VB02408_F,PT003146_VB02406_R_+_PT015937_VB02408_F
PT003162_VB02523_R,PT015944_VB02525_F,PT003162_VB02523_R_+_PT015944_VB02525_F
PT009213_PT009231_VB02344_R,PT015933_VB02346_F,PT009213_PT009231_VB02344_R_+_PT015933_VB02346_F
PT002641_VB02146_R,PT002650_VB02152_F,PT002641_VB02146_R_+_PT002650_VB02152_F
VB02506_R,VB01494_VB02508_F,VB02506_R_+_VB01494_VB02508_F
VB03920_R,VB03926_F,VB03920_R_+_VB03926_F
PT001469_PT013790_VB04180_R,PT001470_PT013791_VB04181_F,PT001469_PT013790_VB04180_R_+_PT001470_PT013791_VB04181_F
PT001271_PT013637_R,PT001273_PT013639_F,PT001271_PT013637_R_+_PT001273_PT013639_F
PT002984_PT003022_PT011857_VB02849_VB03934_R,PT003014_PT011849_VB03933_F,PT002984_PT003022_PT011857_VB02849_VB03934_R_+_PT003014_PT011849_VB03933_F
LL001167_R,LL001151_F,LL001167_R_+_LL001151_F
LL001266_R,LL001029_F,LL001266_R_+_LL001029_F
LL001411_R,LL000919_F,LL001411_R_+_LL000919_F
LL001513_R,LL000885_F,LL001513_R_+_LL000885_F
LL001534_R,LL000838_F,LL001534_R_+_LL000838_F
LL001685_R,LL001690_F,LL001685_R_+_LL001690_F
PT000902_VB00593_R,PT000897_VB03661_F,PT000902_VB00593_R_+_PT000897_VB03661_F
PT003329_PT003362_VB01355_R,PT003324_PT003357_VB00828_F,PT003329_PT003362_VB01355_R_+_PT003324_PT003357_VB00828_F
VB01357_R,VB01273_F,VB01357_R_+_VB01273_F
VB01358_R,VB01274_F,VB01358_R_+_VB01274_F
LL000301_R,LL000299_F,LL000301_R_+_LL000299_F
LL001273_R,LL001270_F,LL001273_R_+_LL001270_F
LL001303_R,LL001300_F,LL001303_R_+_LL001300_F
LL001541_R,LL001538_F,LL001541_R_+_LL001538_F
LL001585_R,LL001582_F,LL001585_R_+_LL001582_F
LL001166_R,LL001152_F,LL001166_R_+_LL001152_F
LL001265_R,LL001030_F,LL001265_R_+_LL001030_F
LL001410_R,LL000920_F,LL001410_R_+_LL000920_F
LL001512_R,LL000886_F,LL001512_R_+_LL000886_F
LL001533_R,LL000839_F,LL001533_R_+_LL000839_F
PT003327_PT003360_VB01349_R,PT003319_PT003352_VB01280_F,PT003327_PT003360_VB01349_R_+_PT003319_PT003352_VB01280_F
VB01351_R,VB01285_F,VB01351_R_+_VB01285_F
VB01352_R,VB01286_F,VB01352_R_+_VB01286_F
VB03916_R,VB03910_F,VB03916_R_+_VB03910_F
VB05498_R,PT000909_VB03678_F,VB05498_R_+_PT000909_VB03678_F
LL001707_R,LL001706_F,LL001707_R_+_LL001706_F
LL001753_R,LL001755_F,LL001753_R_+_LL001755_F
PT012882_VB04019_R,PT012884_VB04021_F,PT012882_VB04019_R_+_PT012884_VB04021_F
LL001615_R,LL000770_F,LL001615_R_+_LL000770_F
LL001965_R,LL001937_F,LL001965_R_+_LL001937_F
LL001358_R,LL000963_F,LL001358_R_+_LL000963_F
PT001309_PT013667_R,PT001312_PT013670_F,PT001309_PT013667_R_+_PT001312_PT013670_F
PT001324_PT013681_R,PT001327_PT013684_F,PT001324_PT013681_R_+_PT001327_PT013684_F
PT012888_VB04025_R,PT012890_VB04027_F,PT012888_VB04025_R_+_PT012890_VB04027_F
PT012891_VB04028_R,PT012893_VB04030_F,PT012891_VB04028_R_+_PT012893_VB04030_F
PT018622_VB03547_R,PT018616_VB03541_F,PT018622_VB03547_R_+_PT018616_VB03541_F
VB00693_R,VB03300_F,VB00693_R_+_VB03300_F
VB03917_R,VB03911_F,VB03917_R_+_VB03911_F
LL001613_R,LL001612_F,LL001613_R_+_LL001612_F
LL000762_R,LL001625_F,LL000762_R_+_LL001625_F
LL000776_R,LL001605_F,LL000776_R_+_LL001605_F
LL000820_R,LL001564_F,LL000820_R_+_LL001564_F
LL001196_R,LL001085_F,LL001196_R_+_LL001085_F
LL001369_R,LL000952_F,LL001369_R_+_LL000952_F
LL001394_R,LL000926_F,LL001394_R_+_LL000926_F
LL001555_R,LL000832_F,LL001555_R_+_LL000832_F
LL001576_R,LL000802_F,LL001576_R_+_LL000802_F
LL001635_R,LL000759_F,LL001635_R_+_LL000759_F
LL000438_R,LL000444_F,LL000438_R_+_LL000444_F
PT000233_PT013268_R,PT000218_PT013253_F,PT000233_PT013268_R_+_PT000218_PT013253_F
PT001652_VB02076_R,PT001651_VB02075_F,PT001652_VB02076_R_+_PT001651_VB02075_F
PT001654_VB02221_R,PT001653_VB02220_F,PT001654_VB02221_R_+_PT001653_VB02220_F
PT001656_VB02484_R,PT001655_VB02483_F,PT001656_VB02484_R_+_PT001655_VB02483_F
PT001658_VB02496_R,PT001657_VB02493_F,PT001658_VB02496_R_+_PT001657_VB02493_F
PT001679_PT005085_R,PT001680_PT005084_VB01902_F,PT001679_PT005085_R_+_PT001680_PT005084_VB01902_F
PT006685_PT008330_PT014367_PT014479_VB04429_R,PT011349_PT011358_VB04428_F,PT006685_PT008330_PT014367_PT014479_VB04429_R_+_PT011349_PT011358_VB04428_F
PT008293_PT008299_PT008305_PT014475_PT016088_VB00170_VB02883_R,PT016089_VB02882_F,PT008293_PT008299_PT008305_PT014475_PT016088_VB00170_VB02883_R_+_PT016089_VB02882_F
PT018139_R,PT018138_F,PT018139_R_+_PT018138_F
PT025139_PT025196_R,PT025138_PT025195_F,PT025139_PT025196_R_+_PT025138_PT025195_F
VB00023_R,VB04615_F,VB00023_R_+_VB04615_F
LL000117_R,LL000114_F,LL000117_R_+_LL000114_F
LL001217_R,LL001207_F,LL001217_R_+_LL001207_F
LL001356_R,LL001346_F,LL001356_R_+_LL001346_F
LL001428_R,LL001418_F,LL001428_R_+_LL001418_F
LL001447_R,LL001437_F,LL001447_R_+_LL001437_F
LL001464_R,LL001454_F,LL001464_R_+_LL001454_F
LL001498_R,LL001488_F,LL001498_R_+_LL001488_F
LL001618_R,LL001616_F,LL001618_R_+_LL001616_F
PT000138_PT013212_R,PT000141_PT013215_F,PT000138_PT013212_R_+_PT000141_PT013215_F
PT001300_PT013658_R,PT001308_PT001386_PT013666_PT013717_F,PT001300_PT013658_R_+_PT001308_PT001386_PT013666_PT013717_F
PT001315_PT013672_R,PT001323_PT013680_F,PT001315_PT013672_R_+_PT001323_PT013680_F
PT001471_PT013792_VB04178_R,PT001478_PT013799_VB04188_F,PT001471_PT013792_VB04178_R_+_PT001478_PT013799_VB04188_F
VB00372_R,VB00870_F,VB00372_R_+_VB00870_F
VB00590_R,PT022516_PT022614_VB01707_VB02463_F,VB00590_R_+_PT022516_PT022614_VB01707_VB02463_F
PT001059_PT001468_PT007431_PT013491_PT013789_R,PT001473_PT013794_VB04185_F,PT001059_PT001468_PT007431_PT013491_PT013789_R_+_PT001473_PT013794_VB04185_F
PT003338_PT003371_VB00830_R,PT003334_PT003367_VB01635_F,PT003338_PT003371_VB00830_R_+_PT003334_PT003367_VB01635_F
PT018607_VB03532_R,PT018612_VB03536_F,PT018607_VB03532_R_+_PT018612_VB03536_F
PT023701_PT023705_R,PT023704_F,PT023701_PT023705_R_+_PT023704_F
LL001178_R,LL001183_F,LL001178_R_+_LL001183_F
LL001377_R,LL001382_F,LL001377_R_+_LL001382_F
VB03921_R,VB03922_F,VB03921_R_+_VB03922_F
PT025011_PT025034_R,PT025020_PT025043_F,PT025011_PT025034_R_+_PT025020_PT025043_F
PT025058_PT025081_R,PT001212_PT001225_PT001262_PT013610_PT025067_PT025090_VB01052_F,PT025058_PT025081_R_+_PT001212_PT001225_PT001262_PT013610_PT025067_PT025090_VB01052_F
LL000721_R,LL001643_F,LL000721_R_+_LL001643_F
PT022592_PT022690_R,PT022594_PT022692_F,PT022592_PT022690_R_+_PT022594_PT022692_F
LL000944_R,LL001375_F,LL000944_R_+_LL001375_F
LL001102_R,LL001176_F,LL001102_R_+_LL001176_F
LL000765_R,LL001625_F,LL000765_R_+_LL001625_F
LL000779_R,LL001605_F,LL000779_R_+_LL001605_F
LL000823_R,LL001564_F,LL000823_R_+_LL001564_F
PT016920_PT016936_R,PT000087_F,PT016920_PT016936_R_+_PT000087_F
LL000202_R,LL000203_F,LL000202_R_+_LL000203_F
LL000340_R,LL000342_F,LL000340_R_+_LL000342_F
LL000429_R,LL000431_F,LL000429_R_+_LL000431_F
LL000838_R,LL001528_F,LL000838_R_+_LL001528_F
LL000885_R,LL001507_F,LL000885_R_+_LL001507_F
LL000919_R,LL001405_F,LL000919_R_+_LL001405_F
LL001029_R,LL001260_F,LL001029_R_+_LL001260_F
LL001151_R,LL001161_F,LL001151_R_+_LL001161_F
PT000897_VB03661_R,PT000901_VB03669_F,PT000897_VB03661_R_+_PT000901_VB03669_F
PT000916_R,PT000920_F,PT000916_R_+_PT000920_F
LL001143_R,LL001137_F,LL001143_R_+_LL001137_F
LL000730_R,LL000724_F,LL000730_R_+_LL000724_F
LL000811_R,LL000805_F,LL000811_R_+_LL000805_F
LL000847_R,LL000841_F,LL000847_R_+_LL000841_F
LL000862_R,LL000856_F,LL000862_R_+_LL000856_F
LL000877_R,LL000871_F,LL000877_R_+_LL000871_F
LL000911_R,LL000905_F,LL000911_R_+_LL000905_F
LL001038_R,LL001032_F,LL001038_R_+_LL001032_F
LL001072_R,LL001066_F,LL001072_R_+_LL001066_F
LL001094_R,LL001088_F,LL001094_R_+_LL001088_F
LL001107_R,LL001112_F,LL001107_R_+_LL001112_F
LL001138_R,LL001143_F,LL001138_R_+_LL001143_F
PT002986_PT003021_PT011856_VB02850_VB03935_R,PT003020_PT011855_VB03940_F,PT002986_PT003021_PT011856_VB02850_VB03935_R_+_PT003020_PT011855_VB03940_F
VB04988_R,PT022594_PT022692_F,VB04988_R_+_PT022594_PT022692_F
LL000751_R,LL000740_F,LL000751_R_+_LL000740_F
LL000980_R,LL000969_F,LL000980_R_+_LL000969_F
LL001060_R,LL001049_F,LL001060_R_+_LL001049_F
PT001678_VB01745_VB01901_R,PT002393_VB01727_VB01900_F,PT001678_VB01745_VB01901_R_+_PT002393_VB01727_VB01900_F
PT002501_R,PT004955_PT007809_PT022520_PT022618_VB02389_F,PT002501_R_+_PT004955_PT007809_PT022520_PT022618_VB02389_F
PT002655_VB02156_R,PT004952_PT007806_PT022517_PT022615_VB01729_VB02147_VB05775_F,PT002655_VB02156_R_+_PT004952_PT007806_PT022517_PT022615_VB01729_VB02147_VB05775_F
PT007692_PT014420_VB03991_R,PT007694_PT014422_VB03989_F,PT007692_PT014420_VB03991_R_+_PT007694_PT014422_VB03989_F
PT008735_R,VB01730_F,PT008735_R_+_VB01730_F
PT012235_R,VB02831_F,PT012235_R_+_VB02831_F
PT012236_R,VB02832_F,PT012236_R_+_VB02832_F
LL001597_R,LL001594_F,LL001597_R_+_LL001594_F
LL001315_R,LL001312_F,LL001315_R_+_LL001312_F
LL001338_R,LL001335_F,LL001338_R_+_LL001335_F
PT003517_R,PT003513_F,PT003517_R_+_PT003513_F
LL001177_R,LL001180_F,LL001177_R_+_LL001180_F
LL001376_R,LL001379_F,LL001376_R_+_LL001379_F
PT025025_PT025048_R,PT025020_PT025043_F,PT025025_PT025048_R_+_PT025020_PT025043_F
PT025072_PT025095_R,PT001212_PT001225_PT001262_PT013610_PT025067_PT025090_VB01052_F,PT025072_PT025095_R_+_PT001212_PT001225_PT001262_PT013610_PT025067_PT025090_VB01052_F
LL000794_R,LL000796_F,LL000794_R_+_LL000796_F
LL000835_R,LL000837_F,LL000835_R_+_LL000837_F
LL001005_R,LL001007_F,LL001005_R_+_LL001007_F
LL001026_R,LL001028_F,LL001026_R_+_LL001028_F
LL001631_R,LL000758_F,LL001631_R_+_LL000758_F
LL001192_R,LL001084_F,LL001192_R_+_LL001084_F
LL001365_R,LL000951_F,LL001365_R_+_LL000951_F
LL001390_R,LL000925_F,LL001390_R_+_LL000925_F
LL001551_R,LL000831_F,LL001551_R_+_LL000831_F
LL001572_R,LL000801_F,LL001572_R_+_LL000801_F
LL001144_R,LL001148_F,LL001144_R_+_LL001148_F
LL000878_R,LL000882_F,LL000878_R_+_LL000882_F
LL000912_R,LL000916_F,LL000912_R_+_LL000916_F
LL000540_R,LL000541_F,LL000540_R_+_LL000541_F
LL000812_R,LL000816_F,LL000812_R_+_LL000816_F
LL000848_R,LL000852_F,LL000848_R_+_LL000852_F
LL000863_R,LL000867_F,LL000863_R_+_LL000867_F
LL001039_R,LL001043_F,LL001039_R_+_LL001043_F
LL001073_R,LL001077_F,LL001073_R_+_LL001077_F
LL001095_R,LL001099_F,LL001095_R_+_LL001099_F
LL001037_R,LL001251_F,LL001037_R_+_LL001251_F
LL001071_R,LL001200_F,LL001071_R_+_LL001200_F
LL001093_R,LL001188_F,LL001093_R_+_LL001188_F
LL001111_R,LL001172_F,LL001111_R_+_LL001172_F
LL001142_R,LL001169_F,LL001142_R_+_LL001169_F
PT002988_PT003008_PT011843_PT014727_PT014746_VB03939_VB05703_R,PT003006_PT003007_PT011841_PT014725_PT014744_VB00511_VB02854_F,PT002988_PT003008_PT011843_PT014727_PT014746_VB03939_VB05703_R_+_PT003006_PT003007_PT011841_PT014725_PT014744_VB00511_VB02854_F
VB00965_VB00966_R,VB00969_VB00970_F,VB00965_VB00966_R_+_VB00969_VB00970_F
PT001342_R,PT001345_F,PT001342_R_+_PT001345_F
PT003319_PT003352_VB01280_R,PT003330_PT003363_VB01303_F,PT003319_PT003352_VB01280_R_+_PT003330_PT003363_VB01303_F
VB01285_R,VB01304_F,VB01285_R_+_VB01304_F
VB01286_R,VB01305_F,VB01286_R_+_VB01305_F
VB03136_R,VB03140_F,VB03136_R_+_VB03140_F
VB03910_R,VB00977_F,VB03910_R_+_VB00977_F
LL001143_R,LL001145_F,LL001143_R_+_LL001145_F
PT003020_PT011855_VB03940_R,PT003013_PT011848_VB03942_F,PT003020_PT011855_VB03940_R_+_PT003013_PT011848_VB03942_F
PT022594_PT022692_R,PT022596_PT022694_F,PT022594_PT022692_R_+_PT022596_PT022694_F
VB01302_R,VB01352_F,VB01302_R_+_VB01352_F
LL001215_R,LL001201_F,LL001215_R_+_LL001201_F
LL001354_R,LL001340_F,LL001354_R_+_LL001340_F
LL001426_R,LL001412_F,LL001426_R_+_LL001412_F
